0.662	1.0138
1.162	0.9561
1.662	0.9303
2.162	0.904
2.662	0.8893
3.162	0.8851
3.662	0.8851
4.162	0.8902
4.662	0.8877
5.162	0.8824
5.662	0.8955
6.162	0.8939
6.662	0.897
7.162	0.9048
7.662	0.902
8.162	0.9148
8.662	0.9206
9.162	0.9175
9.662	0.9272
10.162	0.9307
10.662	0.9312
11.162	0.9446
11.662	0.9306
12.162	0.9401
12.662	0.9464
13.162	0.9526
13.662	0.9551
14.162	0.9528
14.662	0.959
15.162	0.9633
15.662	0.9686
16.162	0.9675
16.662	0.9705
17.162	0.9679
17.662	0.9712
18.162	0.9677
18.662	0.9732
19.162	0.9731
19.662	0.967
