0.662	1.0113
1.162	0.9438
1.662	0.9042
2.162	0.8804
2.662	0.8601
3.162	0.8422
3.662	0.8394
4.162	0.8329
4.662	0.8312
5.162	0.8379
5.662	0.8336
6.162	0.8288
6.662	0.834
7.162	0.839
7.662	0.8302
8.162	0.8355
8.662	0.8348
9.162	0.8434
9.662	0.8377
10.162	0.843
10.662	0.8501
11.162	0.8503
11.662	0.8432
12.162	0.8567
12.662	0.8593
13.162	0.8565
13.662	0.8714
14.162	0.8641
14.662	0.8746
15.162	0.8753
15.662	0.8808
16.162	0.8867
16.662	0.8771
17.162	0.8793
17.662	0.8774
18.162	0.8857
18.662	0.8761
19.162	0.8824
19.662	0.8743
