0.662	0.9693
0.862	0.9596
1.062	0.9409
1.262	0.9283
1.462	0.9217
1.662	0.9112
1.862	0.8991
2.062	0.8934
2.262	0.8861
2.462	0.8787
2.662	0.8758
2.862	0.8783
3.062	0.8795
3.262	0.8673
3.462	0.875
3.662	0.8746
3.862	0.8732
4.062	0.8774
4.262	0.8719
4.462	0.8721
4.662	0.8786
4.862	0.8794
5.062	0.8751
5.262	0.8758
5.462	0.8846
5.662	0.8872
5.862	0.8837
6.062	0.8871
6.262	0.8847
6.462	0.884
6.662	0.8886
6.862	0.8886
7.062	0.8962
7.262	0.8896
7.462	0.8936
7.662	0.8961
7.862	0.9011
8.062	0.9008
8.262	0.9106
8.462	0.9132
8.662	0.9131
8.862	0.9167
9.062	0.9174
9.262	0.9154
9.462	0.9165
9.662	0.9208
9.862	0.9148
10.062	0.9183
10.262	0.9262
10.462	0.9255
10.662	0.9255
10.862	0.9285
11.062	0.9264
11.262	0.9286
11.462	0.9261
11.662	0.9243
11.862	0.9292
12.062	0.9281
12.262	0.9312
12.462	0.9398
12.662	0.9408
12.862	0.9344
13.062	0.9371
13.262	0.943
13.462	0.9499
13.662	0.9486
13.862	0.9379
14.062	0.9354
14.262	0.9453
14.462	0.9424
14.662	0.9523
14.862	0.9436
15.062	0.9609
15.262	0.9583
15.462	0.9535
15.662	0.9631
15.862	0.9578
16.062	0.9437
16.262	0.9552
16.462	0.9573
16.662	0.9657
16.862	0.9629
17.062	0.9637
17.262	0.9643
17.462	0.9625
17.662	0.9656
17.862	0.9612
18.062	0.9633
18.262	0.972
18.462	0.9757
18.662	0.9683
18.862	0.9688
19.062	0.9639
19.262	0.9655
19.462	0.9635
19.662	0.962
19.862	0.958
20.062	0.9621
20.262	0.9659
20.462	0.9723
20.662	0.9565
20.862	0.9772
