Energy(MeV)	AbsEff (%)	PhotopeakEff(%)
0.662	0.9693	0.5235
1.162	0.933	0.404
1.662	0.9112	0.342
2.162	0.8875	0.2982
2.662	0.8758	0.2733
3.162	0.8738	0.2467
3.662	0.8746	0.2348
4.162	0.88	0.2233
4.662	0.8786	0.2182
5.162	0.8741	0.2186
5.662	0.8872	0.2196
6.162	0.8861	0.2198
6.662	0.8886	0.2143
7.162	0.8975	0.2122
7.662	0.8961	0.2219
8.162	0.9067	0.2233
8.662	0.9131	0.2264
9.162	0.9122	0.2284
9.662	0.9208	0.2274
10.162	0.9235	0.2325
10.662	0.9255	0.2258
11.162	0.939	0.2284
11.662	0.9243	0.2224
12.162	0.9348	0.2258
12.662	0.9408	0.2297
13.162	0.946	0.2264
13.662	0.9486	0.2169
14.162	0.9456	0.2124
14.662	0.9523	0.2135
15.162	0.9563	0.2154
15.662	0.9631	0.2051
16.162	0.9613	0.2018
16.662	0.9657	0.202
17.162	0.9624	0.1981
17.662	0.9656	0.1974
18.162	0.963	0.1845
18.662	0.9683	0.1892
19.162	0.9692	0.1897
19.662	0.962	0.178
