0.662	1.0113
0.862	0.9854
1.062	0.9533
1.262	0.9366
1.462	0.9145
1.662	0.9042
1.862	0.8896
2.062	0.8826
2.262	0.8742
2.462	0.8669
2.662	0.8601
2.862	0.853
3.062	0.8494
3.262	0.8446
3.462	0.843
3.662	0.8394
3.862	0.8394
4.062	0.8377
4.262	0.8383
4.462	0.8306
4.662	0.8312
4.862	0.8334
5.062	0.8359
5.262	0.8352
5.462	0.8353
5.662	0.8336
5.862	0.8312
6.062	0.8308
6.262	0.8314
6.462	0.8354
6.662	0.834
6.862	0.83
7.062	0.8357
7.262	0.8298
7.462	0.829
7.662	0.8302
7.862	0.8302
8.062	0.8352
8.262	0.8394
8.462	0.8434
8.662	0.8348
8.862	0.836
9.062	0.8432
9.262	0.8448
9.462	0.8335
9.662	0.8377
9.862	0.839
10.062	0.8466
10.262	0.8444
10.462	0.8561
10.662	0.8501
10.862	0.85
11.062	0.8509
11.262	0.8525
11.462	0.8546
11.662	0.8432
11.862	0.8511
12.062	0.8581
12.262	0.8505
12.462	0.8571
12.662	0.8593
12.862	0.8615
13.062	0.8594
13.262	0.8637
13.462	0.8662
13.662	0.8714
13.862	0.8686
14.062	0.8626
14.262	0.8666
14.462	0.8727
14.662	0.8746
14.862	0.8665
15.062	0.8768
15.262	0.8791
15.462	0.8793
15.662	0.8808
15.862	0.8801
16.062	0.8813
16.262	0.8789
16.462	0.8797
16.662	0.8771
16.862	0.8735
17.062	0.8819
17.262	0.8765
17.462	0.8766
17.662	0.8774
17.862	0.8809
18.062	0.883
18.262	0.8882
18.462	0.8795
18.662	0.8761
18.862	0.8771
19.062	0.8778
19.262	0.8751
19.462	0.882
19.662	0.8743
19.862	0.8802
20.062	0.8732
20.262	0.8806
20.462	0.885
20.662	0.8874
20.862	0.8922
